326792,148099,72820,217996,287510,533785,194745,561483,470663,175682,469852,185951,9514,170124,189827,554755,15382,323257,186029,New.0.ReferenceOTU576,469873,178146,540230,295024,292424,561636,145149,303304,309068,471308,162427,130663,261912,15141,13823,108747,325608,48207,326977,316587,312461,307981,139221,24773,274208,305760,212619,198251,199293,210269,301004,248563,470139,195574,469868,191687,177351,364234,178122,517331,259422,268604,352304,302844,184464,181834,361809,259261,365758,563485,586732,352379,295190,New.0.ReferenceOTU11,99826,209122,179287,545371,579564,174902,16076
189827,326792,194745,364234,198251,9514,170124,261912,191687,148099,554755,469852,13823,540230,470663,287510,178122,15141,469873,248563,217996,72820,130663,533785,312461,175682,108747,24773,186029,185951,48207,New.0.ReferenceOTU576,561483,561636,145149,305760,210269,307981,178146,301004,162427,323257,470139,316587,309068,15382,259422,303304,292424,563485,212619,326977,181834,259261,274208,471308,199293,325608,361809,469868,352379,302844,139221,195574,184464,517331,295190,268604,New.0.ReferenceOTU11,295024,99826,352304,209122,365758,586732,177351,579564,179287,545371,16076,174902
326792,189827,217996,261912,72820,148099,13823,9514,15141,533785,178122,561483,554755,178146,198251,470663,561636,540230,292424,470139,469852,194745,48207,469873,130663,305760,175682,323257,162427,145149,108747,312461,24773,316587,364234,326977,307981,15382,248563,170124,185951,186029,191687,287510,325608,309068,210269,361809,259422,471308,301004,303304,259261,139221,274208,New.0.ReferenceOTU576,174902,181834,352379,469868,295190,212619,563485,184464,302844,195574,179287,352304,New.0.ReferenceOTU11,177351,209122,295024,365758,199293,99826,268604,586732,517331,545371,579564,16076
326792,364234,189827,261912,217996,72820,470663,469873,148099,9514,175682,194745,554755,561483,199293,178146,533785,248563,130663,195574,186029,312461,15382,108747,13823,48207,469852,170124,15141,145149,309068,323257,540230,307981,292424,561636,325608,287510,326977,New.0.ReferenceOTU576,185951,268604,162427,210269,305760,316587,259422,198251,303304,471308,24773,301004,563485,177351,191687,470139,178122,274208,295024,181834,259261,212619,469868,302844,139221,184464,361809,295190,New.0.ReferenceOTU11,179287,209122,365758,517331,352379,352304,586732,99826,579564,174902,545371,16076
326792,189827,194745,217996,72820,533785,470663,9514,561483,191687,287510,170124,561636,364234,469873,554755,13823,148099,108747,145149,307981,15382,185951,471308,292424,303304,470139,New.0.ReferenceOTU576,316587,15141,305760,48207,186029,323257,540230,469852,210269,259261,130663,326977,274208,268604,24773,301004,302844,162427,178146,309068,178122,198251,261912,295024,517331,199293,469868,184464,312461,325608,139221,175682,259422,361809,181834,195574,New.0.ReferenceOTU11,352379,563485,545371,177351,295190,212619,179287,586732,209122,99826,352304,248563,365758,174902,579564,16076
326792,189827,72820,261912,217996,561483,364234,9514,148099,259261,325608,533785,470139,554755,540230,15382,305760,361809,15141,470663,130663,108747,295024,469873,210269,469852,185951,194745,178122,561636,302844,292424,191687,13823,307981,186029,268604,312461,309068,181834,198251,145149,316587,471308,303304,326977,259422,323257,199293,48207,563485,179287,248563,175682,170124,139221,24773,New.0.ReferenceOTU576,295190,352379,301004,469868,274208,287510,365758,517331,212619,162427,184464,586732,178146,579564,352304,195574,New.0.ReferenceOTU11,177351,174902,99826,209122,16076,545371
326792,189827,194745,217996,469873,170124,470663,185951,469852,72820,191687,554755,261912,533785,307981,274208,364234,563485,48207,13823,199293,9514,210269,309068,326977,561483,305760,15382,316587,287510,259261,New.0.ReferenceOTU576,15141,471308,561636,323257,312461,248563,268604,145149,130663,186029,178122,292424,108747,212619,162427,24773,540230,148099,195574,303304,181834,177351,301004,198251,469868,295024,139221,470139,325608,175682,259422,302844,295190,New.0.ReferenceOTU11,361809,517331,352304,184464,365758,178146,586732,209122,352379,179287,579564,545371,99826,16076,174902
326792,470663,194745,361809,268604,189827,72820,261912,191687,15141,533785,540230,561483,9514,554755,217996,130663,178122,561636,517331,185951,108747,303304,210269,305760,148099,292424,469873,48207,326977,469852,13823,259422,312461,316587,307981,325608,178146,471308,309068,15382,301004,145149,259261,198251,199293,364234,287510,186029,470139,175682,New.0.ReferenceOTU576,179287,365758,24773,181834,323257,352379,302844,184464,563485,274208,195574,295024,174902,469868,545371,212619,170124,352304,248563,295190,579564,New.0.ReferenceOTU11,177351,209122,162427,586732,16076,139221,99826
189827,326792,9514,470663,554755,72820,261912,15141,217996,148099,13823,325608,561483,540230,364234,469873,470139,178122,259261,561636,533785,198251,316587,469852,307981,305760,292424,130663,108747,312461,48207,170124,15382,563485,210269,175682,301004,361809,185951,248563,323257,New.0.ReferenceOTU576,326977,145149,194745,191687,287510,186029,24773,309068,303304,471308,268604,259422,302844,274208,181834,162427,212619,199293,517331,178146,352379,139221,184464,469868,209122,195574,365758,295190,179287,352304,586732,295024,579564,New.0.ReferenceOTU11,177351,99826,545371,16076,174902
326792,189827,194745,470663,217996,13823,178122,9514,185951,170124,181834,72820,48207,561483,533785,469852,517331,191687,309068,287510,108747,305760,364234,212619,307981,561636,554755,148099,469873,326977,540230,175682,130663,New.0.ReferenceOTU576,186029,303304,471308,301004,274208,312461,259422,15141,292424,210269,361809,365758,470139,316587,295024,352379,15382,198251,145149,268604,261912,24773,199293,209122,259261,184464,295190,563485,139221,325608,323257,302844,New.0.ReferenceOTU11,469868,162427,179287,177351,195574,248563,579564,352304,586732,178146,16076,545371,99826,174902
